Id,date,total_sleep_minutes
4388161847,2016-05-07,520.0
4388161847,2016-05-08,555.0
4388161847,2016-05-09,149.0
4388161847,2016-05-10,522.0
4388161847,2016-05-11,306.0
4388161847,2016-05-12,306.0
4445114986,2016-03-11,407.0
4445114986,2016-03-12,407.0
4445114986,2016-03-13,358.0
4445114986,2016-03-14,358.0
4445114986,2016-03-15,645.0
4445114986,2016-03-16,457.0
4445114986,2016-03-17,245.0
4445114986,2016-03-18,245.0
4445114986,2016-03-19,178.0
4445114986,2016-03-20,568.0
4445114986,2016-03-21,227.0
4445114986,2016-03-22,381.0
4445114986,2016-03-23,381.0
4445114986,2016-03-24,433.0
4445114986,2016-03-25,371.0
4445114986,2016-03-26,176.0
4445114986,2016-03-27,332.0
4445114986,2016-03-28,399.0
4445114986,2016-03-29,526.0
4445114986,2016-03-30,526.0
4445114986,2016-03-31,479.0
4445114986,2016-04-01,366.0
4445114986,2016-04-02,523.0
4445114986,2016-04-03,523.0
4445114986,2016-04-04,523.0
4445114986,2016-04-05,534.0
4445114986,2016-04-06,472.0
4445114986,2016-04-07,277.0
4445114986,2016-04-08,251.0
4445114986,2016-04-09,500.0
4445114986,2016-04-10,396.0
4445114986,2016-04-11,466.0
4445114986,2016-04-12,853.0
4445114986,2016-04-13,449.0
4445114986,2016-04-14,546.0
4445114986,2016-04-15,432.0
4445114986,2016-04-16,544.0
4445114986,2016-04-17,119.0
4445114986,2016-04-18,119.0
4445114986,2016-04-19,467.0
4445114986,2016-04-20,488.0
4445114986,2016-04-21,507.0
4445114986,2016-04-22,454.0
4445114986,2016-04-23,454.0
4445114986,2016-04-24,454.0
4445114986,2016-04-25,368.0
4445114986,2016-04-26,435.0
4445114986,2016-04-27,421.0
4445114986,2016-04-28,471.0
4445114986,2016-04-29,110.0
4445114986,2016-04-30,390.0
4445114986,2016-05-01,484.0
4445114986,2016-05-02,586.0
4445114986,2016-05-03,485.0
4445114986,2016-05-04,397.0
4445114986,2016-05-05,573.0
4445114986,2016-05-06,435.0
4445114986,2016-05-07,482.0
4445114986,2016-05-08,425.0
4445114986,2016-05-09,625.0
4445114986,2016-05-10,454.0
4445114986,2016-05-11,563.0
4445114986,2016-05-12,524.0
4558609924,2016-03-11,106.0
4558609924,2016-03-12,106.0
4558609924,2016-03-13,106.0
4558609924,2016-03-14,106.0
4558609924,2016-03-15,106.0
4558609924,2016-03-16,106.0
4558609924,2016-03-17,106.0
4558609924,2016-03-18,106.0
4558609924,2016-03-19,106.0
4558609924,2016-03-20,106.0
4558609924,2016-03-21,106.0
4558609924,2016-03-22,106.0
4558609924,2016-03-23,106.0
4558609924,2016-03-24,106.0
4558609924,2016-03-25,106.0
4558609924,2016-03-26,106.0
4558609924,2016-03-27,106.0
4558609924,2016-03-28,106.0
4558609924,2016-03-29,106.0
4558609924,2016-03-30,106.0
4558609924,2016-03-31,192.0
4558609924,2016-04-01,192.0
4558609924,2016-04-02,88.0
4558609924,2016-04-03,280.0
4558609924,2016-04-04,280.0
4558609924,2016-04-05,280.0
4558609924,2016-04-06,280.0
4558609924,2016-04-07,280.0
4558609924,2016-04-08,280.0
4558609924,2016-04-09,280.0
4558609924,2016-04-10,280.0
4558609924,2016-04-11,280.0
4558609924,2016-04-12,280.0
4558609924,2016-04-13,280.0
4558609924,2016-04-14,280.0
4558609924,2016-04-15,280.0
4558609924,2016-04-16,280.0
4558609924,2016-04-17,280.0
4558609924,2016-04-18,280.0
4558609924,2016-04-19,280.0
4558609924,2016-04-20,280.0
